,datetime,ghi,SZA,TOA,cams,lsasaf,era,merra
20129,2021-04-18 17:00:00,842.35,27.53529905578179,1195.5095863755507,845.9046000000001,912.02501,440.53333,717.25
20130,2021-04-18 18:00:00,682.8833333333333,42.21902563418277,998.4731463337574,709.6384,734.77503,327.1111,599.0
20131,2021-04-18 19:00:00,426.85,56.95967770960036,735.0934801558125,482.099,501.27501,266.13333,471.75
20132,2021-04-18 20:00:00,243.05,71.70063224084323,423.3194768362649,200.8645,196.7,66.82667,241.125
20146,2021-04-19 10:00:00,135.32203389830508,76.69239522902684,310.16360498587477,126.6163,146.95000425,59.27111,154.75
20147,2021-04-19 11:00:00,328.2333333333333,61.974386325773466,633.1397097779253,290.9131,388.25,150.11555,371.125
20148,2021-04-19 12:00:00,518.35,47.24725282557312,914.7241701917904,478.32399999999996,626.8,202.25778,629.0
20149,2021-04-19 13:00:00,515.8166666666667,32.55799803422905,1135.7274705905877,530.8936,722.55001,242.70222,819.75
20150,2021-04-19 14:00:00,628.5666666666667,18.06179755698889,1281.0886012773617,725.6031,909.62501,375.71555,927.75
20151,2021-04-19 15:00:00,915.85,5.667917778340439,1340.901441416435,976.9224,1051.825,439.50223,976.25
20152,2021-04-19 16:00:00,995.2333333333332,13.3476495740436,1311.089844797722,983.6538,1024.350035,460.69333,865.0
20153,2021-04-19 17:00:00,906.8333333333334,27.642591479457337,1193.685422464795,760.9399,899.125,556.12445,808.25
20154,2021-04-19 18:00:00,748.8,42.29721244896029,996.6890917796613,619.985,738.95002,442.13333,674.25
20155,2021-04-19 19:00:00,435.0833333333333,57.01872822880937,733.5258271266842,405.4208,517.300015,369.5111,416.0
20156,2021-04-19 20:00:00,228.55,71.74351243512372,422.1297700941054,197.8036,195.1000075,148.5689,192.25
20170,2021-04-20 10:00:00,99.30508474576273,76.61475430824157,311.7700399467943,89.531,117.0,5.7066665,152.375
20175,2021-04-20 15:00:00,387.78333333333336,5.956524775966056,1339.4827602180803,635.5152,858.5250100000001,186.29333,796.75
20176,2021-04-20 16:00:00,701.3333333333334,13.530513020746522,1309.3754509920582,696.596,799.125,303.9111,721.75
20177,2021-04-20 17:00:00,538.8666666666667,27.751312147508525,1191.8462687930464,555.2106,600.82501,322.29333,642.75
20178,2021-04-20 18:00:00,444.9166666666667,42.37558001457356,994.9046331617511,412.3895,401.700005,292.19556,534.0
20179,2021-04-20 19:00:00,253.76666666666668,57.07722417809479,731.9717911050038,312.8537,291.125005,163.21777,377.0
20180,2021-04-20 20:00:00,136.63333333333333,71.78531538850929,420.966181291905,223.373,271.1,66.933334,204.375
20194,2021-04-21 10:00:00,55.36666666666667,76.5397469104141,313.31477820677793,66.2691,102.25,54.06222,114.40625
20195,2021-04-21 11:00:00,119.41666666666669,61.85456652144617,634.9341225993726,148.9708,269.025005,138.24,274.25
20196,2021-04-21 12:00:00,239.61666666666667,47.16497249093747,915.147170372876,209.6137,364.800005,277.92,442.875
20197,2021-04-21 13:00:00,305.78333333333336,32.529011852965695,1134.8578653954803,325.019,506.42501,531.8578,590.75
20198,2021-04-21 14:00:00,341.06666666666666,18.14415801893365,1279.093286890486,305.6417,608.72501,750.0622,706.25
20199,2021-04-21 15:00:00,361.6166666666667,6.249445746586497,1338.0240292433125,219.10660000000001,460.225005,701.5822,749.75
20200,2021-04-21 16:00:00,149.63333333333333,13.716762355746894,1307.634059750271,277.5055,374.6750025,719.87555,722.0
20201,2021-04-21 17:00:00,223.1833333333333,27.861257978198058,1189.9944046105134,337.8725,284.625005,432.8889,664.75
20202,2021-04-21 18:00:00,225.75,42.45399624340563,993.1220119130918,462.5983,330.5250125,409.22665,520.75
20203,2021-04-21 19:00:00,247.21666666666667,57.135068075419845,730.4334098733237,349.4271,422.275005,238.88,359.125
20204,2021-04-21 20:00:00,124.65,71.82596745955793,419.8303926067785,155.389,130.1,133.38667,151.0
20218,2021-04-22 10:00:00,42.46666666666667,76.46742256051411,314.7969084316894,20.2064,21.275,81.95556,128.0
20219,2021-04-22 11:00:00,74.05,61.79935318201646,635.7341723867158,70.7577,124.5,249.65334,316.625
20220,2021-04-22 12:00:00,154.53333333333333,47.12951279175533,915.2635139474896,145.334,281.0,557.7244,503.625
20221,2021-04-22 13:00:00,113.98333333333332,32.52186359379232,1134.3354704307224,163.1073,338.575,710.1511,645.25
20222,2021-04-22 14:00:00,340.81666666666666,18.19634803564015,1278.0206500356076,251.583,487.05,798.72,688.75
20223,2021-04-22 15:00:00,676.9833333333333,6.545507377854315,1336.5271452230584,329.14549999999997,415.750005,532.44446,684.5
20224,2021-04-22 16:00:00,667.2,13.905927347319373,1305.8678350326047,411.4572,447.975015,384.49777,635.75
